White Win %,Black Win %,Moves,Number of moves
48.60%,30.20%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O,5
47.60%,28.00%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.Nc3,5
58.60%,17.90%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Bc4 c6 5.O-O Be7 6.dxe5,6
31.10%,59.60%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7 5.Bc4 Be7 6.Bxf7+,6
40.60%,41.80%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.Nc3 Nbd7 5.Bc4 Be7 6.Ng5 O-O 7.Bxf7+ Rxf7 8.Ne6,8
48.30%,30.80%,1.e4 e5 2.Nf3 d6 3.d4 Nd7 4.Nc3 Ngf6 5.g4,5
50.00%,32.20%,1.e4 e5 2.Nf3 d6 3.d4 exd4 4.Bc4,4
44.70%,30.50%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5,4
53.20%,14.30%,1.e4 e5 2.Nf3 d6 3.d4 Nf6 4.dxe5 Nxe4 5.Qd5,5
63.80%,22.90%,1.e4 e5 2.Nf3 d6 3.d4 f5 4.Nc3,4
45.10%,29.80%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 c6 5.Qd2,5
49.90%,24.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be3 c6 5.h3,5
52.50%,26.70%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4,4
42.80%,34.50%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Be3,6
48.90%,24.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Bc4,5
43.30%,29.10%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.e5,6
47.30%,29.80%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.e5 Nfd7 7.h4,7
41.50%,30.60%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.f4 Bg7 5.Nf3 O-O 6.Bd3,6
46.00%,31.50%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.h4,5
48.90%,28.60%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bg5,4
50.00%,34.50%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2 Bg7 5.g4,5
39.20%,38.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Be2,4
44.20%,30.80%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3,4
37.40%,31.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.Be2,5
38.50%,32.30%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Nf3 Bg7 5.h3,5
43.40%,36.40%,1.e4 d6 2.d4 Nf6 3.Nc3 g6 4.Bc4,4
50.40%,25.20%,1.d4 b5 2.e4 Bb7 3.Bxb5,3
41.50%,29.30%,1.b4 e5 2.Bb2 f6 3.b5,3
42.70%,38.40%,1.b4 e5 2.a3,2
38.50%,42.00%,1.b4,1
38.50%,31.90%,1.b4 Nf6 2.Bb2 g6 3.c4 Bg7 4.e3 d6 5.Nf3 O-O 6.d4,6
40.60%,36.70%,1.b4 Nf6 2.Bb2 d5 3.e3 e6 4.b5,4
47.20%,39.60%,1.b4 e5 2.Bb2 f6 3.e4,3
37.40%,35.30%,1.b4 Nf6 2.Nf3,2
46.60%,33.30%,1.e4 e5 2.Nf3 Nc6 3.c3,3
33.30%,44.10%,1.e4 e5 2.Nf3 Nc6 3.c3 d5 4.Bb5,4
41.80%,35.10%,1.e4 e5 2.Bb5,2
37.00%,42.10%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Be3,4
46.50%,29.20%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.d5,4
51.00%,40.10%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.dxc5,4
30.50%,45.30%,1.d4 g6 2.c4 Bg7 3.Nc3 c5 4.e3,4
38.90%,37.20%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.Be3,5
52.50%,27.00%,1.e4 g6 2.d4 Bg7 3.Nc3 c5 4.Nf3 Qa5 5.dxc5,5
34.80%,34.90%,1.d4 Nf6 2.Nf3 g6 3.Nc3 d5 4.Bf4 Bg7 5.e3 O-O 6.Be2,6
32.20%,40.30%,1.d4 d5 2.Nf3 Nf6 3.e3,3
43.60%,30.00%,1.d4 d5 2.Bg5,2
37.90%,33.90%,1.d4 d5 2.Nf3 Nf6 3.Bf4,3
33.60%,46.90%,1.d4 d5 2.f4,2
35.70%,43.40%,1.d4 d5 2.Bf4 c5 3.e4,3
44.80%,31.40%,1.d4 d5 2.Bf4,2
38.00%,41.30%,1.d4 d5 2.e3 Nf6 3.Bd3,3
33.60%,35.70%,1.d4 d5 2.Nf3 Nf6 3.g3,3
42.50%,28.80%,1.d4 d5 2.Nf3 Nf6 3.Bg5,3
35.70%,41.60%,1.d4 d5 2.Nc3 Nf6 3.Bg5 e6 4.Nf3,4
42.40%,35.10%,1.d4 d5 2.Nc3 Nf6 3.Bg5 Bf5 4.f3,4
40.20%,29.80%,1.d4 d5 2.Nc3 Nf6 3.Bg5 Bf5 4.Bxf6,4
43.00%,37.80%,1.d4 d5 2.Nc3,2
32.10%,38.10%,1.d4 d5 2.Nc3 Nf6 3.Bg5 Nbd7 4.Nf3,4
39.50%,32.00%,1.d4 d5 2.Nf3,2
47.20%,34.30%,1.d4,1
28.60%,47.10%,1.d4 d5 2.c4 dxc4 3.Qa4+,3
39.30%,30.00%,1.d4 d5 2.c4 dxc4 3.Nf3 a6 4.e4,4
43.00%,28.60%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Nc3 a6 5.e4,5
43.30%,21.50%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.Qe2,7
62.40%,8.90%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O,6
34.00%,25.50%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.a4,7
45.90%,21.40%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3 e6 5.Bxc4 c5 6.O-O a6 7.e4,7
42.90%,16.60%,1.d4 d5 2.c4 dxc4 3.Nc3 c5 4.d5 Nf6 5.Nf3 e6 6.e4 exd5 7.e5,7
39.60%,25.40%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Qa4+,4
42.10%,31.70%,1.d4 d5 2.c4 dxc4 3.Nf3,3
40.50%,28.90%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.e3,4
41.30%,27.50%,1.d4 d5 2.c4 dxc4 3.e3,3
68.60%,19.60%,1.d4 d5 2.c4 dxc4 3.e4,3
36.10%,37.50%,1.d4 d5 2.c4 dxc4 3.Nf3 Nf6 4.Nc3,4
41.10%,21.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bxf6,7
25.30%,8.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bxf6 Bxf6 8.Rc1 c6 9.Bd3 Nd7 10.O-O dxc4 11.Bxc4,11
48.60%,18.90%,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 Nbd7 5.e3 c6 6.Nbd2,6
43.60%,25.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5,4
52.50%,20.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5,5
45.00%,25.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Bg5 c6 6.Qc2,6
42.40%,22.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.cxd5 exd5 5.Nf3 Nbd7 6.Bf4,6
50.20%,20.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4,5
48.40%,28.00%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bf4,4
43.40%,23.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5 8.Qc2 Nc6 9.a3 Qa5 10.O-O-O,10
41.20%,17.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 c5 7.dxc5 Bxc5 8.Qc2 Nc6 9.a3 Qa5 10.Rd1,10
37.40%,18.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Be7 5.Bf4 O-O 6.e3 Nbd7 7.c5,7
38.00%,24.50%,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5 h6 5.Bxf6 Qxf6 6.Nc3 c6 7.Qb3,7
33.90%,18.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4 Ne4 8.Bxe7 Qxe7 9.cxd5 Nxc3 10.bxc3,10
27.90%,14.00%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4 Ne4 8.Bxe7 Qxe7 9.Qc2,9
51.40%,20.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.Nf3 O-O 6.Qc2,6
47.90%,23.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5,4
44.70%,23.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3,6
49.20%,19.10%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Nbd7 5.e3,5
46.40%,15.70%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Rc1,6
40.60%,21.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 h6 7.Bh4,7
39.60%,6.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.Ne4,11
40.20%,28.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Bd3,7
49.50%,11.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O Nxc3 12.Rxc3 e5 13.Qc2,13
24.80%,10.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O Nxc3 12.Rxc3 e5 13.dxe5 Nxe5 14.Nxe5,14
43.70%,18.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1,7
40.10%,16.70%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 c6 8.Bd3 dxc4 9.Bxc4 Nd5 10.Bxe7 Qxe7 11.O-O,11
55.40%,23.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Rc1 b6 8.cxd5 exd5 9.Bd3,9
48.80%,19.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Qc2,7
30.60%,15.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 Be7 5.e3 O-O 6.Nf3 Nbd7 7.Qc2 c5 8.cxd5,8
38.40%,29.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Bg5 c5 5.cxd5,5
45.40%,28.10%,1.d4 d5 2.c4 e6 3.Nc3,3
40.50%,26.60%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 Bb4 5.Qa4+,5
35.40%,19.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5 5.cxd5 Nxd5 6.e4,6
39.40%,15.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5 5.cxd5 Nxd5 6.e3 Nc6 7.Bd3,7
43.70%,30.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5 5.Bg5,5
39.70%,21.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c5 5.cxd5 Nxd5 6.e3,6
52.60%,9.10%,1.d4 d5 2.c4 e6 3.Nf3 c5 4.cxd5 exd5 5.Bg5,5
42.20%,25.10%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3,4
42.50%,27.00%,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.Bg5,4
27.20%,31.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 dxc4 5.e3,5
43.20%,31.30%,1.d4 d5 2.c4 e5 3.dxe5 d4 4.Nf3 Nc6 5.g3,5
55.30%,25.80%,1.d4 d5 2.c4 e5 3.dxe5 d4 4.Nf3 Nc6 5.Nbd2,5
47.00%,33.90%,1.d4 d5 2.c4 e5 3.dxe5 d4 4.Nf3,4
51.30%,23.50%,1.d4 d5 2.c4 Bf5 3.Qb3,3
38.80%,20.20%,1.d4 d5 2.c4 Nc6 3.cxd5 Qxd5 4.e3 e5 5.Nc3 Bb4 6.Bd2 Bxc3 7.Bxc3 exd4 8.Ne2,8
71.70%,13.80%,1.d4 d5 2.c4 Nc6 3.Nc3 dxc4 4.Nf3,4
54.20%,17.80%,1.d4 d5 2.c4 Nc6 3.Nf3 Bg4 4.Qa4,4
43.50%,20.90%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.Nc3,6
44.60%,23.00%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O,6
47.50%,23.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O O-O 7.d5 exd5 8.Nh4,8
32.90%,21.40%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O O-O 7.Nc3,7
27.70%,23.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O O-O 7.Nc3 Ne4 8.Qc2 Nxc3 9.Qxc3,9
39.90%,24.40%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O O-O 7.b3,7
30.40%,23.60%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3,4
46.50%,18.30%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.O-O O-O 7.Re1,7
31.20%,27.70%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Ba6 5.Qa4,5
29.70%,29.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Ba6 5.b3,5
35.30%,22.60%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Ba6 5.Qb3,5
45.10%,28.40%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 c5 6.d5 exd5 7.Nh4,7
33.80%,32.60%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3,4
58.10%,24.70%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3,5
37.50%,24.70%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3 d5 6.cxd5 Nxd5 7.Qc2,7
37.40%,24.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3 d5 6.cxd5 Nxd5 7.e3,7
28.70%,30.40%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3 d5 6.cxd5 Nxd5 7.Qa4+,7
36.50%,23.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Nc3 Bb7 5.a3 d5 6.cxd5 Nxd5 7.Bd2,7
25.70%,40.60%,1.d4 Nf6 2.Nf3 b6 3.g3 Bb7 4.Bg2 c5 5.c4 cxd4 6.Qxd4,6
40.90%,27.20%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.Bf4,4
41.70%,16.30%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.g3 Bb7 5.Bg2 Be7 6.Nc3 Ne4 7.Bd2,7
37.40%,29.90%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.a3,4
32.30%,31.10%,1.d4 Nf6 2.c4 e6 3.Nf3 b6 4.e3,4
42.50%,35.00%,1.e4 d6 2.f4,2
39.20%,33.20%,1.Nf3 d5 2.c4 c6 3.b3,3
50.70%,22.10%,1.Nf3 d5 2.c4 c6 3.b3 Nf6 4.Bb2,4
51.60%,21.80%,1.Nf3 d5 2.c4 c6 3.b3 Nf6 4.Bb2 e6 5.g3 Be7 6.Bg2 O-O 7.O-O,7
44.30%,24.00%,1.Nf3 d5 2.c4,2
43.30%,35.70%,1.Nf3 d5 2.c4 d4 3.e3 c5 4.b4,4
41.70%,31.80%,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3 c5 5.b3,5
52.00%,23.00%,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3 Nbd7 5.O-O Bd6 6.b3 O-O 7.Bb2,7
41.00%,20.00%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4,5
37.50%,35.80%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.Re1 Bg4 9.c3 f5 10.Nbd2,10
38.50%,22.00%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.Re1,8
35.40%,17.70%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.c4 Nb4 9.cxd5,9
34.80%,14.30%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.c4 Nb4 9.Be2,9
42.20%,20.30%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d4 d5 6.Bd3 Be7 7.O-O Nc6 8.c4,8
55.50%,32.30%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nxf7 Kxf7 5.d4,5
19.80%,16.80%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.Qe2,5
33.20%,25.20%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.d3,5
42.30%,19.10%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nd3,4
43.30%,17.60%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.c4,5
46.80%,18.00%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.Bd3,5
47.80%,26.00%,1.e4 e5 2.Nf3 Nf6 3.d4,3
46.00%,17.80%,1.e4 e5 2.Nf3 Nf6 3.d4 exd4 4.e5 Ne4 5.Qxd4,5
44.60%,18.40%,1.e4 e5 2.Nf3 Nf6 3.d4 Nxe4 4.Bd3,4
40.30%,39.60%,1.e4 e5 2.Nf3 Nf6 3.d4 exd4 4.Bc4,4
42.40%,20.50%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nf3 Nxe4 5.Nc3,5
42.80%,23.70%,1.e4 e5 2.Nf3 Nf6 3.Nxe5 d6 4.Nc4,4
41.70%,32.30%,1.e4 e5 2.Nf3 Nf6 3.Nc3,3
42.00%,45.00%,1.e4 e5 2.Nf3 Nf6 3.Bc4,3
35.40%,41.80%,1.c3,1
51.20%,23.20%,1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 Nf6 5.Nf3 Bf5 6.Ne5 c6 7.g4,7
50.60%,23.90%,1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.d4 Nf6 5.Nf3 Bg4 6.h3,6
47.00%,40.50%,1.e4 d5 2.exd5 Qxd5 3.Nc3 Qa5 4.b4,4
55.10%,25.40%,1.e4 d5 2.exd5 Nf6 3.d4,3
35.50%,35.90%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5 5.Be3 Qf6 6.c3 Nge7 7.Qd2,7
73.30%,15.60%,1.e4 e5 2.Nf3 Nc6 3.d4,3
50.20%,28.00%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4,4
47.30%,32.30%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3,4
51.40%,33.50%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.c3 dxc3 5.Bc4,5
46.10%,33.30%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Qh4 5.Nb5,5
29.10%,35.90%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5 5.Be3 Qf6 6.c3 Nge7 7.Nc2,7
37.50%,31.50%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 5.Nxc6 bxc6 6.e5,6
43.50%,31.20%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Bc5 5.Nb3,5
58.10%,24.80%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4,4
39.10%,37.60%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Nf6 5.e5,5
43.40%,35.90%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Bc4 Bc5 5.Ng5,5
31.10%,23.90%,1.e4 e5 2.Nf3 Nc6 3.d4 exd4 4.Nxd4 Nf6 5.Nxc6 bxc6 6.Nd2,6
41.20%,35.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.Bg5 h6 6.Bh4,6
47.50%,25.90%,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e3 f5 5.g4,5
39.10%,29.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.Bg5 dxc4 6.e4 b5 7.e5 h6 8.Bh4 g5 9.Nxg5,9
43.00%,28.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.Bg5 dxc4 6.e4 b5 7.e5 h6 8.Bh4 g5 9.exf6 gxh4 10.Ne5,10
48.40%,27.10%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.Bg5 dxc4 6.e4 b5 7.e5 h6 8.Bh4 g5 9.Nxg5 hxg5 10.Bxg5 Nbd7 11.g3,11
44.00%,30.90%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.Bg5 dxc4 6.e4,6
40.30%,23.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3,6
53.70%,22.10%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3,5
53.40%,23.90%,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4,4
36.10%,31.70%,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4 5.Nxe4 Bb4+ 6.Nc3,6
44.60%,29.20%,1.d4 d5 2.c4 e6 3.Nc3 c6 4.e4 dxe4 5.Nxe4 Bb4+ 6.Bd2,6
40.80%,27.40%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5 8.Bd3 a6 9.e4 c5 10.e5 cxd4 11.Nxb5,11
36.40%,35.50%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5 8.Bd3 a6 9.e4 c5 10.e5,10
41.30%,27.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5 8.Bd3 a6 9.e4 c5 10.d5,10
46.10%,28.70%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4 b5 8.Bd3 Bb7 9.e4 b4 10.Na4 c5 11.e5 Nd5 12.O-O cxd4 13.Nxd4,13
46.50%,34.90%,1.d4 d5 2.Nf3 c6 3.c4 e6 4.Nc3 dxc4 5.g3,5
47.20%,20.90%,1.d4 d5 2.c4 e6 3.Nf3 Nf6 4.e3 c6 5.Nbd2,5
46.10%,24.10%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Bd3 dxc4 7.Bxc4,7
39.00%,23.20%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Qc2,6
29.60%,28.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Qc2 Bd6 7.e4,7
44.70%,28.30%,1.d4 d5 2.c4 e6 3.Nc3 Nf6 4.Nf3 c6 5.e3 Nbd7 6.Qc2 Bd6 7.g4,7
28.40%,50.40%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nxc6,5
43.00%,24.50%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7 6.Be3,6
38.20%,24.50%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4,5
39.50%,32.10%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3 Bg7 6.Be3 Nf6 7.Bc4,7
36.00%,39.70%,1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3,5
46.70%,15.60%,1.e4 c5 2.c3 d5 3.exd5 Qxd5 4.d4 cxd4 5.cxd4 Nc6 6.Nf3 e5 7.Nc3 Bb4 8.Be2,8
37.70%,34.50%,1.e4 c5 2.c3,2
39.50%,29.40%,1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 Nc6 5.Bc4 Nb6 6.Bb3,6
22.40%,48.80%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nb3,7
22.90%,48.60%,1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nxc6,7
22.90%,63.00%,1.e4 c5 2.Bc4,2
33.40%,36.90%,1.e4 c5 2.Nf3 d6 3.Bb5+,3
