White Win %,Black Win %,Moves,Number of moves
37.90%,45.80%,1.e4 c6 2.d4 d5 3.Nc3 dxe4 4.Bc4,4
42.30%,21.10%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3,5
56.60%,14.40%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Qc2,7
40.80%,27.90%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2,4
51.20%,20.60%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 Be7 5.Nf3 O-O 6.O-O Nbd7 7.Nc3 c6 8.Qd3,8
36.60%,29.90%,1.d4 Nf6 2.c4 e6 3.g3,3
29.00%,30.30%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Qa4+ Nbd7 6.Qxc4,6
31.60%,27.40%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Qa4+,5
36.20%,28.70%,1.d4 Nf6 2.c4 e6 3.g3 d5 4.Bg2 dxc4 5.Nf3,5
52.10%,30.10%,1.e4 e5 2.d4 exd4 3.Qxd4 Nc6 4.Qe3,4
45.00%,38.20%,1.h3,1
44.80%,29.00%,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3,4
37.00%,35.50%,1.d4 d5 2.Nf3 Nf6 3.e3 e6 4.Bd3 c5 5.c3,5
47.70%,38.40%,1.e4 e5 2.d4 exd4 3.c3,3
41.30%,28.50%,1.d4 f5 2.g3 Nf6 3.Bg2 e6 4.Nh3,4
39.40%,40.80%,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.f3,4
44.40%,25.90%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2,4
50.80%,22.50%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nh3,5
41.30%,30.00%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Qe8 8.Qc2,8
52.00%,21.50%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d6 7.Nc3 Qe8 8.b3,8
52.70%,16.00%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5 7.b3 c6 8.Ba3,8
40.20%,25.70%,1.d4 f5 2.c4 Nf6 3.g3 e6 4.Bg2 Be7 5.Nf3 O-O 6.O-O d5 7.b3,7
44.60%,27.20%,1.d4 f5 2.g3,2
43.30%,30.90%,1.d4 f5 2.c4 Nf6 3.g3,3
46.90%,30.60%,1.d4 f5 2.Bg5,2
44.30%,35.60%,1.d4 f5 2.h3 Nf6 3.g4,3
43.80%,35.60%,1.d4 f5 2.Qd3,2
44.30%,36.10%,1.d4 f5 2.h3,2
48.60%,36.40%,1.d4 f5 2.g4,2
39.90%,30.00%,1.d4 f5 2.c4 Nf6 3.g3 g6 4.Bg2 Bg7 5.Nf3,5
39.40%,38.00%,1.d4 f5 2.c4 Nf6 3.Nc3,3
48.40%,27.10%,1.d4 f5 2.Nc3,2
40.50%,34.40%,1.d4 f5 2.c4 e6 3.Nc3,3
42.00%,35.30%,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5,4
46.60%,31.30%,1.d4 f5 2.e4 fxe4 3.Nc3 Nf6 4.Bg5 g6 5.f3,5
38.50%,29.30%,1.c4 e6 2.Nf3 d5 3.g3,3
41.80%,23.90%,1.c4 e6 2.Nf3 d5 3.g3 Nf6 4.Bg2 Be7 5.O-O,5
38.90%,31.70%,1.c4 e6 2.Nf3 d5 3.b3 Nf6 4.Bb2 c5 5.e3,5
49.70%,21.50%,1.c4 Nf6 2.Nc3 d5 3.cxd5 Nxd5 4.Nf3,4
39.10%,27.90%,1.c4 Nf6 2.Nc3 g6 3.Nf3 Bg7 4.e4,4
45.90%,24.10%,1.c4 Nf6 2.Nc3 e6 3.e4 d5 4.e5,4
55.30%,22.00%,1.c4 Nf6 2.Nc3 e6 3.e4,3
40.70%,25.20%,1.c4 Nf6 2.Nf3,2
40.70%,31.70%,1.c4 Nf6 2.Nc3,2
51.60%,18.90%,1.c4 Nf6 2.Nc3 e6 3.Nf3 b6 4.e4 Bb7 5.Bd3,5
47.50%,27.60%,1.c4 Nf6 2.Nc3 e6 3.Nf3 Bb4 4.g4,4
38.20%,36.50%,1.c4,1
32.90%,30.30%,1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.e4,6
38.20%,30.60%,1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3,5
41.90%,31.90%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e4,4
37.30%,27.50%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.g3,4
38.80%,27.40%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.d3,4
39.70%,24.90%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.a3,4
39.20%,29.40%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3 Bb4 5.Qc2 O-O 6.Nd5 Re8 7.Qf5,7
41.00%,28.80%,1.c4 e5 2.Nc3 Nc6 3.Nf3 Nf6 4.e3,4
36.30%,36.70%,1.c4 e5 2.Nc3 d6 3.Nf3,3
41.40%,25.00%,1.c4 e5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.Rb1,5
45.10%,29.60%,1.c4 e5 2.Nf3,2
42.40%,32.90%,1.c4 e5 2.Nc3,2
40.20%,34.20%,1.c4 e5 2.Nc3 Nc6 3.Nf3,3
46.60%,29.00%,1.c4 e5 2.Nc3 Nf6 3.g3,3
38.20%,34.70%,1.c4 c5 2.Nf3 Nf6 3.d4,3
