03CF0,r2qr1k1/p1p1bpBp/2pp1n2/5b2/4P2P/6Q1/PPP2PP1/RN2K2R b KQ - 1 12,f5g4 g7f6 e7f6 g3g4,1614,500,100,0,capturingDefender equality kingsideAttack opening pin short,https://lichess.org/dAKdfRR3/black#24,
03Cow,3r1rk1/ppp2ppp/1b6/8/4P1R1/2Pq3P/P5P1/R1Q1B2K b - - 1 23,h7h5 g4g7 g8g7 c1g5,1333,329,100,1,attraction equality kingsideAttack middlegame sacrifice short,https://lichess.org/zsh50GkI/black#46,
03ET6,5rk1/3b1p1p/1q1pp1pQ/4n2P/p2RP1P1/5P2/BPP5/2K4R b - - 0 25,b6d4 h5g6 e5d3 c2d3,1613,500,100,0,equality middlegame short,https://lichess.org/IJ5K8xZ3/black#50,
03FL5,5r2/p1q2p1k/5Q1p/3p1N2/8/1P5P/P4KP1/4r3 b - - 1 33,c7e5 f6h6 h7g8 h6g5,1545,500,100,2,endgame equality fork short,https://lichess.org/ifsXHnPY/black#66,
03S9i,r2r2k1/1pq2ppp/p4n2/5b2/P2nN3/2N1Q3/1PP1BPPP/R3R1K1 b - - 0 19,f5e4 c3e4 f6e4 e3e4,1476,298,100,8,equality middlegame short,https://lichess.org/vJx8SkbM/black#38,
03Siw,r7/ppp1k3/3pb3/3P2Pp/1Bn4P/2P5/P1q3P1/4RR1K b - - 0 25,c7c5 e1e6 e7d7 f1f7,1584,407,100,2,equality middlegame short,https://lichess.org/8NsQrhEX/black#50,
03ZnP,r2qr2k/p5pp/1p3p2/3PnQ2/bp2P3/7P/P2BBPP1/R4RK1 w - - 0 23,d2b4 g7g5 f2f4 a4d7 f4e5 d7f5,1707,297,-75,3,equality long middlegame quietMove trappedPiece,https://lichess.org/H6IlCoVE#45,
03eOY,2rr2k1/pp2pp1p/6p1/2nqN3/8/2QbP3/PP3PPP/3RKB1R b K - 4 16,d5a2 e5d3 c5d3 d1d3 c8c3 d3d8 g8g7 b2c3,2516,314,100,8,equality intermezzo middlegame veryLong,https://lichess.org/IViaPbrK/black#32,
03elI,r2q1rk1/pb4Bp/4p3/2p4N/1P1p3n/P4B2/5bPP/R2Q1R1K b - - 1 21,h4f3 g7f8 d8h4 f8d6 f3h2 d6h2,1586,500,100,1,equality long middlegame,https://lichess.org/uvIGsVkn/black#42,
03ewz,rn4k1/6pp/2p1p3/pp3r2/3q2n1/2N3Q1/PPP1RPPP/R5K1 b - - 3 20,b8d7 a1d1 d4a7 g3g4,2112,124,78,41,equality middlegame short,https://lichess.org/quJT7Epf/black#40,
03rlt,8/pp6/2p4N/4k3/PPP3p1/3B1p2/6rP/4K3 b - - 0 39,g2h2 h6g4 e5d4 g4h2,1360,437,100,1,endgame equality fork short,https://lichess.org/gKfrkV8O/black#78,
03tdm,2kr3r/1pp2p2/p3p2q/PP2P1p1/8/3p1NP1/R3Q2P/4R1K1 w - - 0 25,e2b2 d3d2 e1d1 g5g4 b2c3 g4f3,1582,500,100,3,advancedPawn equality long middlegame,https://lichess.org/HQ4M51kz#49,
03yX7,5qk1/4b2p/2p5/2Pp1N2/1Pb1pQ1P/2P5/r5P1/3R2K1 b - - 0 41,e7h4 f4g4 g8h8 f5h4,2325,203,100,8,equality fork intermezzo middlegame short,https://lichess.org/yW05STcO/black#82,
046tY,r1b2rk1/3n1p1p/p2p1p2/1p1Nq3/4P3/1PP2Q2/1P3PPP/R4RK1 b - - 0 16,c8b7 f3g4 g8h8 g4d7 b7d5 e4d5,1589,353,100,2,equality fork long middlegame,https://lichess.org/1wTsaNQ5/black#32,
04Grm,2k4r/1b4p1/p6p/2b1Np2/3q4/P1Q2P2/1PP3PP/R4RK1 w - - 0 24,c3d4 c5d4 g1h1 d4e5,1494,265,100,7,equality fork middlegame short,https://lichess.org/Q4EasZu1#47,
04HJt,rnbq3r/ppp2kpp/3b4/3p3Q/4n3/3B4/PPPP1PPP/RNB1K2R b KQ - 1 7,g7g6 h5d5 c8e6 d5e4,1692,271,100,6,equality fork opening short,https://lichess.org/vU8DaLLy/black#14,
04acU,1nr5/6k1/1R3p2/p2p4/2bP4/2P5/2B2KPP/8 b - - 3 31,b8d7 b6b7 c8b8 b7d7,1441,500,100,0,endgame equality pin short,https://lichess.org/uhSGnkyN/black#62,
04dt3,1k1r3r/ppq2p2/2Bp1B2/1Q6/4P1pp/P7/1PP2PPP/5RK1 w - - 2 22,f6e7 c7e7,1602,353,100,2,equality hangingPiece middlegame oneMove,https://lichess.org/KzyvyZsr#43,
04kyG,r2q2k1/pp3ppp/3Pr3/8/2N1nB2/5Q1P/PP2BbP1/3R1K2 b - - 1 21,f2g3 f4g3 e6f6 g3f4,1583,458,100,1,defensiveMove equality middlegame short,https://lichess.org/iz5wkkKq/black#42,
04nYt,8/pp1n1rk1/5q2/2pp1pPr/3PpQ2/1PP1P2R/P2N2P1/6K1 b - - 0 32,f6g5 h3g3 g5g3 f4g3,1579,500,100,0,equality middlegame pin short,https://lichess.org/aN3R0w7i/black#64,
04pyu,r3r1k1/ppp3pp/8/3qBRpQ/3P4/8/P1P3PP/R5K1 w - - 0 17,h5g5 e8e5 d4e5 d5d4 f5f2 d4a1,1535,291,100,4,equality fork long middlegame sacrifice,https://lichess.org/opDqf4NU#33,
04qg5,7r/2k1r2p/pnpq1p2/6p1/3P4/5N2/PPQ2PPP/2RR2K1 w - - 2 22,f3e5 f6e5 d4e5 d6g6 c2g6 h7g6,2271,267,100,7,equality long middlegame,https://lichess.org/cOsnLUr2#43,
04rVT,R4br1/P2bkp2/2p2p1p/3np3/4Q1P1/7P/3PKP2/2q2B1R b - - 1 26,d5f4 e2f3 d7g4 h3g4 c1d1 f3e3,2050,373,100,2,defensiveMove equality long middlegame,https://lichess.org/JcG9moPM/black#52,
04rno,r2q1rk1/1b1nppbp/p2p1np1/1p6/P1pPBB2/2P1PN1P/1PQN1PP1/R4RK1 b - - 1 13,b7e4 d2e4 f6e4 c2e4,1576,322,100,5,equality middlegame short,https://lichess.org/mDB1uDZH/black#26,
0505B,3N4/1R2ppkp/6p1/6P1/4p1n1/4P1P1/r4P2/6K1 b - - 2 32,a2f2 b7e7 g7f8 e7e4,1724,156,100,32,endgame equality short,https://lichess.org/wkzwYumW/black#64,
051fG,3rr1k1/p2n1pp1/1p3bbp/2p5/2B2P2/2N3B1/PPP2QPP/5RK1 w - - 1 21,c3d5 f6d4,1217,406,100,7,equality middlegame oneMove pin,https://lichess.org/eSSPxnSa#41,
052HE,r5k1/1bpqr3/1p1p2pR/3P4/5BPQ/p4P2/Pb4K1/7R b - - 1 29,b7d5 h6g6 e7g7 h4h8 g8f7 g6g7 b2g7 h8h5 f7f8 h5d5,2349,310,100,2,equality exposedKing fork middlegame veryLong,https://lichess.org/XvwKjeOT/black#58,
052yI,r4rk1/1p5p/p7/3p2q1/P2Pp1B1/1P2PpN1/5P2/R5QK w - - 0 28,g3e4 g5h4 g1h2 h4h2 h1h2 d5e4,1669,357,100,2,equality exposedKing long middlegame,https://lichess.org/4xsJQEEC#55,
055m7,1r1nk2r/p2nbppp/8/4p3/Bp6/8/PPP2PPP/R1B1R1K1 b k - 6 16,e8g8 a4d7,1466,500,100,0,equality hangingPiece middlegame oneMove,https://lichess.org/hK9cVen0/black#32,
059eZ,r1bq1rk1/pp3ppp/5n2/3p2B1/2Q5/2N2N2/PP3PPP/R3K2R w KQ - 0 13,c3d5 d8d5 c4d5 f6d5,1891,223,50,7,equality middlegame short,https://lichess.org/fUk84wQG#25,
05ARI,6k1/4pp1p/q2pb3/5PPB/3RP2P/1p6/rQ6/1KR5 w - - 1 33,f5e6 a2b2 b1b2 a6a2,1594,456,100,3,attraction endgame equality short,https://lichess.org/RmvFrA8q#65,
05Dxv,r4rk1/ppp2p2/3pnq2/2bBp1pQ/1P2P3/2PP3P/P4PP1/R4RK1 b - - 0 16,c7c6 d5e6 f7e6 b4c5,1529,500,100,1,equality middlegame short,https://lichess.org/dzoDXAKx/black#32,
05IKC,N4rk1/pp4pp/n1pp4/4p1B1/6q1/3P1N2/PPP1B3/R2Q2K1 w - - 0 18,g1h1 g4h3 f3h2 f8f2 d1g1 f2e2,1455,327,100,5,equality kingsideAttack long middlegame,https://lichess.org/7U3D9Rkk#35,
05KI6,r7/7p/p5pk/4ppqb/8/1P2N3/P2Q1P1P/5K2 b - - 0 38,e5e4 h2h4 h5e2 f1e2 g5d8 e3f5,1407,299,100,5,doubleCheck endgame equality long,https://lichess.org/23f9UVxc/black#76,
