03nUA,8/8/p6p/2p1k1p1/P3P1P1/4K3/1P6/8 b - - 0 39,c5c4 a4a5 e5e6 e3d4 h6h5 g4h5,1597,75,91,2786,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/rKzlkQJw/black#78,
046wz,8/8/1p6/3k1p2/pP2pP1p/P1K1P2P/6P1/8 w - - 0 41,c3b2 d5c4 b2c2 b6b5 c2d2 c4b3,1062,82,82,53,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/aPFyeq5k#81,
04YJ2,8/8/7k/8/6pp/4K3/5PP1/8 w - - 0 67,e3f4 h6h5 f2f3 g4g3 f4e3 h4h3,2250,148,82,9,crushing endgame long pawnEndgame zugzwang,https://lichess.org/n8c3LZii#133,
04ixu,8/8/5kp1/3K1p1p/4p2P/4P1P1/5P2/8 b - - 0 38,g6g5 h4g5 f6g5 d5e5 g5g4 e5e6,2777,105,79,234,crushing endgame long pawnEndgame zugzwang,https://lichess.org/TXk1TSxQ/black#76,
04iyl,8/8/1pk5/4p1pp/2K1Pp2/2P2P1P/6P1/8 b - - 0 38,h5h4 c4b4 b6b5 c3c4 b5c4 b4c4,1553,75,93,1385,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/nuS5A9sa/black#76,
0552M,8/8/p7/P4p2/3Kp1kp/4P3/5PP1/8 b - - 1 40,h4h3 g2h3 g4h3 d4e5 h3g4 e5f6 f5f4 f6e5 f4e3 f2e3,1936,75,89,1226,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/r4Qvs5i4/black#80,
055TQ,8/5p2/1rk1p1p1/3pP1Pp/3P3P/1R1K4/8/8 w - - 0 54,b3b6 c6b6 d3c3 b6a5 c3b3 a5b5,1944,77,88,142,crushing defensiveMove endgame long zugzwang,https://lichess.org/gQhrquzX#107,
05P2i,8/3k2p1/1p1Np2p/1P2P1PP/8/4nK2/8/8 b - - 4 45,e3f5 d6f5 e6f5 f3f4 d7e6 g5g6 e6e7 f4f5,1928,74,96,433,crushing endgame knightEndgame veryLong zugzwang,https://lichess.org/wPrQ1rm5/black#90,
05PrB,8/4k3/2pb1p2/5P2/p1P1K3/2P5/P2B4/8 w - - 4 49,d2f4 d6f4 e4f4 e7d6 f4e4 d6c5 e4d3 a4a3,1492,75,94,3065,bishopEndgame crushing endgame veryLong zugzwang,https://lichess.org/IkFTl3Ej#97,
05QfW,8/p7/1p1k1n2/3p1P2/PP1K1N2/8/8/8 b - - 0 48,a7a5 b4b5 f6e4 f4d5,1791,75,88,149,crushing endgame knightEndgame quietMove short zugzwang,https://lichess.org/4ULKHCBj/black#96,
05VnQ,8/8/pp1p1k1p/2pP2p1/2P1K1P1/1P5P/P7/8 w - - 0 45,e4e3 f6e5 a2a3 b6b5 e3d3 b5c4,2439,78,94,3462,crushing endgame long pawnEndgame zugzwang,https://lichess.org/g1bw2R9j#89,
05gJz,8/6p1/p1p4p/P2p1k2/1PpP4/2P4P/6P1/4K3 w - - 1 34,e1e2 f5e4 e2d2 e4f4,2219,78,88,592,crushing defensiveMove endgame pawnEndgame short zugzwang,https://lichess.org/MMcDzViq#67,
05k8r,8/8/p3k3/2p1P1pp/P3K3/6PP/8/8 w - - 0 36,a4a5 h5h4 g3h4 g5h4 e4f4 c5c4 f4e4 c4c3,2349,89,89,83,crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/C85wepPu#71,
05meP,8/8/1p3r1p/pP3RkP/P1R5/6K1/8/8 b - - 0 51,g5f5 c4f4 f5e5 f4f6 e5f6 g3f4 f6e6 f4e4,1821,84,85,55,crushing defensiveMove endgame rookEndgame veryLong zugzwang,https://lichess.org/jNl86Z7p/black#102,
05o9S,8/8/5p2/4k3/6p1/3KP3/7P/8 w - - 2 48,d3d2 e5e4 d2e2 f6f5 e2d2 e4f3 d2d3 f3g2,1649,75,94,523,crushing endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/Mf4K9zRi#95,
05pbB,8/2k5/p4p2/PpKp4/4PP2/8/8/8 w - - 0 39,e4d5 f6f5 d5d6 c7d7 c5d5 b5b4 d5c4 d7d6,1993,76,84,89,crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/2a4gGgUe#77,
05uNL,8/6p1/2k4p/2P1pp1P/7r/3PK3/1PR5/8 w - - 2 46,c2c4 h4c4 d3c4 c6c5 e3d3 c5b4 b2b3 f5f4 d3e4 b4c5,2773,114,91,1206,crushing endgame quietMove rookEndgame veryLong zugzwang,https://lichess.org/mTR1pPWd#91,
05uVC,8/4kp2/2p4p/p1P2Kp1/6P1/7P/PP6/8 w - - 0 34,a2a3 a5a4 f5e5 f7f6 e5f5 e7f7,1731,82,86,66,crushing defensiveMove endgame long pawnEndgame quietMove zugzwang,https://lichess.org/LZyrxuZd#67,
05xI2,8/8/1p1p1kp1/2pPp3/2P3KP/2P5/5P2/8 b - - 0 34,f6g7 g4g5 g7f7 g5h6 f7f6 f2f3 f6f5 h6g7 f5f4 g7g6 f4f3 h4h5,2563,114,88,851,crushing defensiveMove endgame pawnEndgame quietMove veryLong zugzwang,https://lichess.org/w5nsgCsv/black#68,
067E4,8/5p2/p1k1p3/Pp2Pp1p/1P1K3P/8/6P1/8 b - - 0 42,c6b7 d4c5 b7c7 g2g3 f7f6 e5f6,1225,78,92,1854,advantage endgame long pawnEndgame quietMove zugzwang,https://lichess.org/s2By3BbS/black#84,
06IzH,8/7p/4k1p1/8/3KPp2/8/6PP/8 b - - 0 36,h7h5 e4e5 h5h4 h2h3 e6d7 d4e4,2738,88,88,474,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/BnNVM2Dz/black#72,
06Wql,8/8/2p5/4kppK/pP2Pp2/P4P2/5P2/8 w - - 0 38,e4f5 e5f5 h5h6 g5g4 f3g4 f5g4 h6g6 f4f3 g6f6 g4h3 f6e5 h3g2,2175,74,95,264,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/3ttL8I6s#75,
06lzB,8/6p1/p4p1p/1p2k2P/1P2P1P1/P3K3/8/8 b - - 3 39,e5d6 e3d4 d6e6 d4c5 e6e5 c5b6 e5e4 b6a6 e4f4 a6b5 f4g4 b5c4 f6f5 c4d3 f5f4 d3e2,2451,88,83,36,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/IEkmzMiI/black#78,
06xjz,8/8/7p/1p3k2/2p4P/P1P1K3/8/8 b - - 1 53,f5e5 h4h5 e5d5 e3f4 d5c5 f4f5,2259,79,91,4109,crushing defensiveMove endgame long pawnEndgame quietMove zugzwang,https://lichess.org/VLP7GYBJ/black#106,
075t1,8/8/1pk1p1p1/3pP1Pp/PK1P3P/8/8/8 b - - 0 38,c6b7 b4b5 b7c7 a4a5 b6a5 b5a5 c7c6 a5a6,2278,75,92,471,crushing defensiveMove endgame pawnEndgame veryLong zugzwang,https://lichess.org/1xKnv3zS/black#76,
07EXF,8/8/8/8/5p2/5b2/5P2/4KBk1 w - - 20 86,f1e2 f3e2 e1e2 g1g2,1254,75,72,115,bishopEndgame crushing endgame short zugzwang,https://lichess.org/ngukTusV#171,
08000,8/p1p5/2p2kp1/1p3p1p/1P1P1K1P/P4PP1/2P5/8 w - - 0 36,c2c3 g6g5 h4g5 f6g6 f4e5 g6g5 d4d5 c6d5 f3f4 g5g4,2416,105,87,730,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/4WxVHdaV#71,
08AeO,8/8/1p2k1p1/p4p1p/2PK1P1P/1P4P1/8/8 w - - 1 52,c4c5 b6b5 c5c6 e6d6,1982,74,86,386,crushing endgame pawnEndgame quietMove short zugzwang,https://lichess.org/lhOtlrQQ#103,
08ArW,8/8/4k1p1/7p/4KP1P/8/8/8 w - - 6 51,e4f3 e6f5 f3e3 f5g4 e3e4 g4h4 e4f3 h4h3 f4f5 g6f5,1730,75,95,8753,crushing endgame pawnEndgame veryLong zugzwang,https://lichess.org/1idA9b9M#101,
08Oqo,8/4k3/2R1P3/2Pp4/4r2p/3K2pP/6P1/8 b - - 0 55,e4e6 c6e6 e7e6 d3d4,1712,75,96,12223,crushing endgame rookEndgame short zugzwang,https://lichess.org/RJVHUZMs/black#110,
08kas,8/1q6/8/5k2/2R5/2P5/2K5/8 b - - 22 83,b7e4 c4e4 f5e4 c2b3 e4d5 b3b4 d5c6 b4c4,1886,74,85,447,crushing defensiveMove endgame veryLong zugzwang,https://lichess.org/3nsvCAKq/black#166,
08lAK,8/8/7p/2k3p1/Kp6/7P/P5P1/8 b - - 2 48,c5c4 g2g4 c4c3 a4b5 b4b3 a2b3,1896,81,81,51,crushing endgame long pawnEndgame quietMove zugzwang,https://lichess.org/vgnQO1jf/black#96,
08oog,8/1p3p2/8/1kPK1p1p/5P2/6PP/8/8 w - - 2 37,d5d6 b5c4 d6e5 c4c5,1929,76,90,933,crushing endgame pawnEndgame short zugzwang,https://lichess.org/ilE49XKY#73,
